"id","name","description"
1,Ahlan Services,
2,Al Majlis VIP Lounge,
3,"Business
Lounge",
4,Business Lounge,
5,CIP Comfort Lounge,
6,CIP Lounge,
7,CIP Terminal,
8,CIP service,
9,Chaperon / Meet & Greet Services,
10,"Comfort
Lounge",
11,Comfort Lounge,
12,FULL VIP,
13,Fast Track,
14,"Fast Track + Conference Hall room 5 вЂ“ 10
pax",
15,Fast Track + Meeting room up to 5 pax,
16,Fast Track + VIP Lounge,
17,"Fast Track, VIP Lounge",
18,Full VIP,
19,"Full VIP
(By request and for Schengen flights ONLY!)",
20,"Full VIP
(For domestic flights  and by request only)",
21,"Full VIP
(VIP Terminal)",
22,Full VIP (by request only),
23,Full VIP (departure only),
24,Full VIP (except BA!),
25,Full VIP Service,
26,Full VIP services,
27,Full VIP services via First Class Lounge,
28,Full VIP services via Private VIP Lounge,
29,"Full VIP services, incl VIP lounge",
30,"Full VIP вЂ“ VIP
Salon",
31,"Full VIP вЂ“ VIP
Suite",
32,"Full VIP вЂ“ VIP
Terminal",
33,"Full VIP,
VIP Terminal",
34,Full VIP/CIP,
35,"Full private VVIP (from June 1st, 2023)",
36,Full services for private jets,
37,"Marhaba
Services",
38,Marhaba Services,
39,Meet & Assist,
40,"Meet & Assist
Fast Track",
41,Meet & Assist (Domestic Flights only),
42,Meet & Assist (by request only),
43,"Meet & Assist , Fast Track",
44,"Meet & Assist , Fast Track, VIP Lounge, Private transfer",
45,Meet & Assist Fast Track,
46,Meet & Assist airside,
47,"Meet & Assist airside, Fast Track",
48,"Meet & Assist,
Fast Track",
49,"Meet & Assist,
Fast Track (according to security reasons)",
50,"Meet & Assist,
Fast Track CIP service",
51,"Meet & Assist,
Fast Track for Domestic flights",
52,"Meet & Assist,
Fast Track, VIP Lounge вЂ“ Protocol service",
53,"Meet & Assist, Business Lounge",
54,"Meet & Assist, Diplomatic Fast Track (by request only)",
55,"Meet & Assist, Fast Track",
56,"Meet & Assist, Fast Track
CIP service",
57,"Meet & Assist, Fast Track (International Flights)",
58,"Meet & Assist, Fast Track (according to security reasons)",
59,"Meet & Assist, Fast Track + VIP Lounge",
60,"Meet & Assist, Fast Track Terminal 1",
61,"Meet & Assist, Fast Track Terminal 3",
62,"Meet & Assist, Fast Track for AAВ flightsВ only",
63,"Meet & Assist, Fast Track for AAВ flightsВ onlyВ - BusinessВ &В First class passengers only!",
64,"Meet & Assist, Fast Track for DLВ В flightsВ only",
65,"Meet & Assist, Fast Track for International flights",
66,"Meet & Assist, Fast Track,",
67,"Meet & Assist, Fast Track,  VIP Lounge",
68,"Meet & Assist, Fast Track, CIP Lounge",
69,"Meet & Assist, Fast Track, Tarmac Transfer",
70,"Meet & Assist, Fast Track, VIP
Lounge",
71,"Meet & Assist, Fast Track, VIP Lounge",
72,"Meet & Assist, Fast Track, VIP lounge",
73,"Meet & Assist, Fast Track, baggy, CIP Lounge (dep. only)",
74,"Meet & Assist, Fast Track, private transfer from/to aircrfat",
75,"Meet & Assist, Fast Track. (Domestic Flights only)",
76,"Meet & Assist, Fast Track. (International Flights)",
77,"Meet & Assist, PRIVATE VIP
Lounge",
78,"Meet & Assist, VIP Lounge",
79,Officials Lounge,
80,Pre-Flight VIP services for El- AL (LY) flights (departure only),
81,VIP,
82,VIP Comfort Lounge,
83,VIP Lounge,
84,"VIP Lounge 08:00 AM till
08:00 PM",
85,"VIP Lounge, Fast Track",
86,"VIP Lounge, Full VIP service",
87,"VIP Lounge, Golf-cart",
88,VIP Orange Lounge,
89,VIP TERMINAL,
90,VIP Terminal,
91,VIP Terminal (NEW),
92,VIP Terminal (NEW) with Private Suite,
93,VIP Terminal (by request only),
94,VIP Terminal - Full VIP,
95,VIP Terminal FOR PASSENGERS WITH HAND LUGGAGE AND ONLINE CHECK-IN ONLY!,
96,VIP Terminal вЂ“ for domestic flights only!,
97,"VIP Terminal, Fast Track",
98,"VIP service, incl. VIP lounge",
99,VIP/CIP Lounge,
100,"VVIP Lounge, all in",
101,"VVIP Lounge, all in (Domestic Flights only)",
102,"VVIP Lounge, all in (Domestic departure only)",
103,VVIP Private Lounge. Domestic Flights,
104,VVIP Private Lounge. International Flights,
105,VVIP services (by request only),
